conds)
Cbc0010I After 305468 nodes, 70999 on tree, 11 best solution, best possible 9 (182.25 seconds)
Cbc0010I After 306581 nodes, 71246 on tree, 11 best solution, best possible 9 (182.95 seconds)
Cbc0010I After 308373 nodes, 71006 on tree, 11 best solution, best possible 9 (183.65 seconds)
Cbc0010I After 309498 nodes, 71058 on tree, 11 best solution, best possible 9 (184.35 seconds)
Cbc0010I After 310874 nodes, 71197 on tree, 11 best solution, best possible 9 (185.05 seconds)
Cbc0010I After 312292 nodes, 71195 on tree, 11 best solution, best possible 9 (185.75 seconds)
Cbc0010I After 314111 nodes, 70704 on tree, 11 best solution, best possible 9 (186.45 seconds)
Cbc0010I After 314990 nodes, 71318 on tree, 11 best solution, best possible 9 (187.16 seconds)
Cbc0010I After 316608 nodes, 70862 on tree, 11 best solution, best possible 9 (187.86 seconds)
Cbc0010I After 317557 nodes, 71143 on tree, 11 best solution, best possible 9 (188.56 seconds)
Cbc0010I After 318862 nodes, 71420 on tree, 11 best solution, best possible 9 (189.26 seconds)
Cbc0010I After 320518 nodes, 71419 on tree, 11 best solution, best possible 9 (189.96 seconds)
Cbc0010I After 322219 nodes, 71249 on tree, 11 best solution, best possible 9 (190.66 seconds)
Cbc0010I After 323545 nodes, 71207 on tree, 11 best solution, best possible 9 (191.36 seconds)
Cbc0010I After 324539 nodes, 71356 on tree, 11 best solution, best possible 9 (192.06 seconds)
Cbc0010I After 326269 nodes, 71185 on tree, 11 best solution, best possible 9 (192.76 seconds)
Cbc0010I After 326983 nodes, 71587 on tree, 11 best solution, best possible 9 (193.46 seconds)
Cbc0010I After 328273 nodes, 71568 on tree, 11 best solution, best possible 9 (194.16 seconds)
Cbc0010I After 329524 nodes, 71569 on tree, 11 best solution, best possible 9 (194.86 seconds)
Cbc0010I After 331017 nodes, 71513 on tree, 11 best solution, best possible 9 (195.56 seconds)
Cbc0010I After 332841 nodes, 70824 on tree, 11 best solution, best possible 9 (196.26 seconds)
Cbc0010I After 333578 nodes, 70702 on tree, 11 best solution, best possible 9 (196.97 seconds)
Cbc0010I After 334403 nodes, 70720 on tree, 11 best solution, best possible 9 (197.67 seconds)
Cbc0010I After 335239 nodes, 70785 on tree, 11 best solution, best possible 9 (198.37 seconds)
Cbc0010I After 336434 nodes, 70789 on tree, 11 best solution, best possible 9 (199.07 seconds)
Cbc0010I After 337563 nodes, 70657 on tree, 11 best solution, best possible 9 (199.77 seconds)
Cbc0010I After 338567 nodes, 70818 on tree, 11 best solution, best possible 9 (200.47 seconds)
Cbc0010I After 339386 nodes, 70873 on tree, 11 best solution, best possible 9 (201.17 seconds)
Cbc0010I After 340436 nodes, 70871 on tree, 11 best solution, best possible 9 (201.87 seconds)
Cbc0010I After 341589 nodes, 70881 on tree, 11 best solution, best possible 9 (202.58 seconds)
Cbc0010I After 342515 nodes, 71038 on tree, 11 best solution, best possible 9 (203.28 seconds)
Cbc0010I After 343937 nodes, 70698 on tree, 11 best solution, best possible 9 (203.98 seconds)
Cbc0010I After 345018 nodes, 70629 on tree, 11 best solution, best possible 9 (204.68 seconds)
Cbc0010I After 345762 nodes, 70728 on tree, 11 best solution, best possible 9 (205.38 seconds)
Cbc0010I After 346546 nodes, 70842 on tree, 11 best solution, best possible 9 (206.08 seconds)
Cbc0010I After 347204 nodes, 70964 on tree, 11 best solution, best possible 9 (206.78 seconds)
Cbc0010I After 347852 nodes, 71087 on tree, 11 best solution, best possible 9 (207.48 seconds)
Cbc0010I After 348769 nodes, 70988 on tree, 11 best solution, best possible 9 (208.18 seconds)
Cbc0010I After 349873 nodes, 71042 on tree, 11 best solution, best possible 9 (208.88 seconds)
Cbc0010I After 350703 nodes, 71186 on tree, 11 best solution, best possible 9 (209.59 seconds)
Cbc0010I After 352005 nodes, 71147 on tree, 11 best solution, best possible 9 (210.29 seconds)
Cbc0010I After 353424 nodes, 71147 on tree, 11 best solution, best possible 9 (210.99 seconds)
Cbc0010I After 355034 nodes, 71147 on tree, 11 best solution, best possible 9 (211.69 seconds)
Cbc0010I After 356800 nodes, 71140 on tree, 11 best solution, best possible 9 (212.39 seconds)
Cbc0010I After 358061 nodes, 70766 on tree, 11 best solution, best possible 9 (213.09 seconds)
Cbc0010I After 358918 nodes, 70933 on tree, 11 best solution, best possible 9 (213.79 seconds)
Cbc0010I After 359940 nodes, 71132 on tree, 11 best solution, best possible 9 (214.49 seconds)
Cbc0010I After 361512 nodes, 70914 on tree, 11 best solution, best possible 9 (215.20 seconds)
Cbc0010I After 362368 nodes, 71044 on tree, 11 best solution, best possible 9 (215.90 seconds)
Cbc0010I After 363318 nodes, 70994 on tree, 11 best solution, best possible 9 (216.60 seconds)
Cbc0010I After 364817 nodes, 70605 on tree, 11 best solution, best possible 9 (217.30 seconds)
Cbc0010I After 365746 nodes, 70731 on tree, 11 best solution, best possible 9 (218.00 seconds)
Cbc0010I After 366658 nodes, 70895 on tree, 11 best solution, best possible 9 (218.70 seconds)
Cbc0010I After 367581 nodes, 71019 on tree, 11 best solution, best possible 9 (219.40 seconds)
Cbc0010I After 368487 nodes, 70953 on tree, 11 best solution, best possible 9 (220.10 seconds)
Cbc0010I After 369396 nodes, 70897 on tree, 11 best solution, best possible 9 (220.80 seconds)
Cbc0010I After 370737 nodes, 70966 on tree, 11 best solution, best possible 9 (221.50 seconds)
Cbc0010I After 371964 nodes, 71460 on tree, 11 best solution, best possible 9 (222.20 seconds)
Cbc0010I After 373329 nodes, 71448 on tree, 11 best solution, best possible 9 (222.91 seconds)
Cbc0010I After 374711 nodes, 71447 on tree, 11 best solution, best possible 9 (223.61 seconds)
Cbc0010I After 376242 nodes, 71448 on tree, 11 best solution, best possible 9 (224.31 seconds)
Cbc0010I After 377550 nodes, 71449 on tree, 11 best solution, best possible 9 (225.01 seconds)
Cbc0010I After 379857 nodes, 70929 on tree, 11 best solution, best possible 9 (225.71 seconds)
Cbc0010I After 381201 nodes, 70841 on tree, 11 best solution, best possible 9 (226.41 seconds)
Cbc0010I After 381910 nodes, 71367 on tree, 11 best solution, best possible 9 (227.11 seconds)
Cbc0010I After 383409 nodes, 70939 on tree, 11 best solution, best possible 9 (227.81 seconds)
Cbc0010I After 384626 nodes, 70463 on tree, 11 best solution, best possible 9 (228.51 seconds)
Cbc0010I After 385525 nodes, 70681 on tree, 11 best solution, best possible 9 (229.21 seconds)
Cbc0010I After 386212 nodes, 71152 on tree, 11 best solution, best possible 9 (229.91 seconds)
Cbc0010I After 386866 nodes, 71585 on tree, 11 best solution, best possible 9 (230.62 seconds)
Cbc0010I After 388720 nodes, 70661 on tree, 11 best solution, best possible 9 (231.32 seconds)
Cbc0010I After 389522 nodes, 70982 on tree, 11 best solution, best possible 9 (232.02 seconds)
Cbc0010I After 390569 nodes, 71186 on tree, 11 best solution, best possible 9 (232.72 seconds)
Cbc0010I After 392073 nodes, 71149 on tree, 11 best solution, best possible 9 (233.42 seconds)
Cbc0010I After 393420 nodes, 71152 on tree, 11 best solution, best possible 9 (234.12 seconds)
Cbc0010I After 394653 nodes, 71149 on tree, 11 best solution, best possible 9 (234.82 seconds)
Cbc0010I After 395905 nodes, 71148 on tree, 11 best solution, best possible 9 (235.52 seconds)
Cbc0010I After 397231 nodes, 71149 on tree, 11 best solution, best possible 9 (236.22 seconds)
Cbc0010I After 398707 nodes, 71149 on tree, 11 best solution, best possible 9 (236.93 seconds)
Cbc0010I After 399863 nodes, 71022 on tree, 11 best solution, best possible 9 (237.63 seconds)
Cbc0010I After 400717 nodes, 71018 on tree, 11 best solution, best possible 9 (238.33 seconds)
Cbc0010I After 401661 nodes, 71493 on tree, 11 best solution, best possible 9 (239.03 seconds)
Cbc0010I After 402545 nodes, 71535 on tree, 11 best solution, best possible 9 (239.73 seconds)
Cbc0010I After 403715 nodes, 71056 on tree, 11 best solution, best possible 9 (240.43 seconds)
Cbc0010I After 404950 nodes, 70724 on tree, 11 best solution, best possible 9 (241.13 seconds)
Cbc0010I After 405659 nodes, 71148 on tree, 11 best solution, best possible 9 (241.83 seconds)
Cbc0010I After 406982 nodes, 71047 on tree, 11 best solution, best possible 9 (242.53 seconds)
Cbc0010I After 407911 nodes, 71637 on tree, 11 best solution, best possible 9 (243.24 seconds)
Cbc0010I After 410074 nodes, 70687 on tree, 11 best solution, best possible 9 (243.94 seconds)
Cbc0010I After 410895 nodes, 71198 on tree, 11 best solution, best possible 9 (244.64 seconds)
Cbc0010I After 412091 nodes, 70999 on tree, 11 best solution, best possible 9 (245.34 seconds)
Cbc0010I After 413340 nodes, 70950 on tree, 11 best solution, best possible 9 (246.04 seconds)
Cbc0010I After 414139 nodes, 70808 on tree, 11 best solution, best possible 9 (246.74 seconds)
Cbc0010I After 415179 nodes, 70869 on tree, 11 best solution, best possible 9 (247.44 seconds)
Cbc0010I After 416073 nodes, 70959 on tree, 11 best solution, best possible 9 (248.14 seconds)
Cbc0010I After 417197 nodes, 70852 on tree, 11 best solution, best possible 9 (248.84 seconds)
Cbc0010I After 418119 nodes, 71043 on tree, 11 best solution, best possible 9 (249.55 seconds)
Cbc0010I After 419174 nodes, 71189 on tree, 11 best solution, best possible 9 (250.25 seconds)
Cbc0010I After 420761 nodes, 70911 on tree, 11 best solution, best possible 9 (250.95 seconds)
Cbc0010I After 421810 nodes, 70910 on tree, 11 best solution, best possible 9 (251.65 seconds)
Cbc0010I After 422777 nodes, 71080 on tree, 11 best solution, best possible 9 (252.35 seconds)
Cbc0010I After 423927 nodes, 70928 on tree, 11 best solution, best possible 9 (253.05 seconds)
Cbc0010I After 424726 nodes, 70915 on tree, 11 best solution, best possible 9 (253.75 seconds)
Cbc0010I After 425845 nodes, 71110 on tree, 11 best solution, best possible 9 (254.45 seconds)
Cbc0010I After 427770 nodes, 71127 on tree, 11 best solution, best possible 9 (255.15 seconds)
Cbc0010I After 429176 nodes, 71125 on tree, 11 best solution, best possible 9 (255.85 seconds)
Cbc0010I After 430307 nodes, 71126 on tree, 11 best solution, best possible 9 (256.56 seconds)
Cbc0010I After 431599 nodes, 71126 on tree, 11 best solution, best possible 9 (257.26 seconds)
Cbc0010I After 432944 nodes, 71126 on tree, 11 best solution, best possible 9 (257.96 seconds)
Cbc0010I After 434221 nodes, 71126 on tree, 11 best solution, best possible 9 (258.66 seconds)
Cbc0010I After 435454 nodes, 71110 on tree, 11 best solution, best possible 9 (259.36 seconds)
Cbc0010I After 436754 nodes, 70762 on tree, 11 best solution, best possible 9 (260.06 seconds)
Cbc0010I After 437555 nodes, 70859 on tree, 11 best solution, best possible 9 (260.76 seconds)
Cbc0010I After 438314 nodes, 70982 on tree, 11 best solution, best possible 9 (261.46 seconds)
Cbc0010I After 439027 nodes, 71079 on tree, 11 best solution, best possible 9 (262.16 seconds)
Cbc0010I After 439671 nodes, 71178 on tree, 11 best solution, best possible 9 (262.86 seconds)
Cbc0010I After 440439 nodes, 71161 on tree, 11 best solution, best possible 9 (263.57 seconds)
Cbc0010I After 441664 nodes, 70996 on tree, 11 best solution, best possible 9 (264.27 seconds)
Cbc0010I After 442506 nodes, 70870 on tree, 11 best solution, best possible 9 (264.97 seconds)
Cbc0010I After 443222 nodes, 71008 on tree, 11 best solution, best possible 9 (265.67 seconds)
Cbc0010I After 444061 nodes, 71097 on tree, 11 best solution, best possible 9 (266.37 seconds)
Cbc0010I After 445384 nodes, 70770 on tree, 11 best solution, best possible 9 (267.07 seconds)
Cbc0010I After 446379 nodes, 70960 on tree, 11 best solution, best possible 9 (267.77 seconds)
Cbc0010I After 447437 nodes, 71001 on tree, 11 best solution, best possible 9 (268.47 seconds)
Cbc0010I After 448505 nodes, 70828 on tree, 11 best solution, best possible 9 (269.17 seconds)
Cbc0010I After 449381 nodes, 70817 on tree, 11 best solution, best possible 9 (269.87 seconds)
Cbc0010I After 450259 nodes, 71015 on tree, 11 best solution, best possible 9 (270.58 seconds)
Cbc0010I After 451298 nodes, 71096 on tree, 11 best solution, best possible 9 (271.28 seconds)
Cbc0010I After 452548 nodes, 70848 on tree, 11 best solution, best possible 9 (271.98 seconds)
Cbc0010I After 453460 nodes, 70991 on tree, 11 best solution, best possible 9 (272.68 seconds)
Cbc0010I After 454870 nodes, 70861 on tree, 11 best solution, best possible 9 (273.38 seconds)
Cbc0010I After 455753 nodes, 70970 on tree, 11 best solution, best possible 9 (274.08 seconds)
Cbc0010I After 457006 nodes, 70693 on tree, 11 best solution, best possible 9 (274.78 seconds)
Cbc0010I After 457853 nodes, 70843 on tree, 11 best solution, best possible 9 (275.48 seconds)
Cbc0010I After 458724 nodes, 71026 on tree, 11 best solution, best possible 9 (276.18 seconds)
Cbc0010I After 459919 nodes, 70629 on tree, 11 best solution, best possible 9 (276.88 seconds)
Cbc0010I After 461000 nodes, 70488 on tree, 11 best solution, best possible 9 (277.58 seconds)
Cbc0010I After 461768 nodes, 70611 on tree, 11 best solution, best possible 9 (278.29 seconds)
Cbc0010I After 462476 nodes, 70708 on tree, 11 best solution, best possible 9 (278.99 seconds)
Cbc0010I After 463104 nodes, 70785 on tree, 11 best solution, best possible 9 (279.69 seconds)
Cbc0010I After 463728 nodes, 70814 on tree, 11 best solution, best possible 9 (280.39 seconds)
Cbc0010I After 464523 nodes, 70652 on tree, 11 best solution, best possible 9 (281.09 seconds)
Cbc0010I After 465149 nodes, 70686 on tree, 11 best solution, best possible 9 (281.79 seconds)
Cbc0010I After 465639 nodes, 70800 on tree, 11 best solution, best possible 9 (282.49 seconds)
Cbc0010I After 466229 nodes, 71129 on tree, 11 best solution, best possible 9 (283.19 seconds)
Cbc0010I After 466900 nodes, 71522 on tree, 11 best solution, best possible 9 (283.89 seconds)
Cbc0010I After 468112 nodes, 71032 on tree, 11 best solution, best possible 9 (284.59 seconds)
Cbc0010I After 469024 nodes, 70844 on tree, 11 best solution, best possible 9 (285.29 seconds)
Cbc0010I After 469847 nodes, 71268 on tree, 11 best solution, best possible 9 (286.00 seconds)
Cbc0010I After 470874 nodes, 71000 on tree, 11 best solution, best possible 9 (286.70 seconds)
Cbc0010I After 471629 nodes, 71343 on tree, 11 best solution, best possible 9 (287.40 seconds)
Cbc0010I After 472729 nodes, 71566 on tree, 11 best solution, best possible 9 (288.10 seconds)
Cbc0010I After 474249 nodes, 71183 on tree, 11 best solution, best possible 9 (288.80 seconds)
Cbc0010I After 475544 nodes, 71183 on tree, 11 best solution, best possible 9 (289.50 seconds)
Cbc0010I After 476836 nodes, 71183 on tree, 11 best solution, best possible 9 (290.20 seconds)
Cbc0010I After 477970 nodes, 71183 on tree, 11 best solution, best possible 9 (290.90 seconds)
Cbc0010I After 479302 nodes, 71182 on tree, 11 best solution, best possible 9 (291.60 seconds)
Cbc0010I After 480393 nodes, 71181 on tree, 11 best solution, best possible 9 (292.31 seconds)
Cbc0010I After 481738 nodes, 71183 on tree, 11 best solution, best possible 9 (293.01 seconds)
Cbc0010I After 483035 nodes, 71183 on tree, 11 best solution, best possible 9 (293.71 seconds)
Cbc0010I After 484270 nodes, 71182 on tree, 11 best solution, best possible 9 (294.41 seconds)
Cbc0010I After 485469 nodes, 71183 on tree, 11 best solution, best possible 9 (295.11 seconds)
Cbc0010I After 486471 nodes, 71184 on tree, 11 best solution, best possible 9 (295.81 seconds)
Cbc0010I After 487616 nodes, 70941 on tree, 11 best solution, best possible 9 (296.51 seconds)
Cbc0010I After 488701 nodes, 70659 on tree, 11 best solution, best possible 9 (297.21 seconds)
Cbc0010I After 489411 nodes, 70937 on tree, 11 best solution, best possible 9 (297.91 seconds)
Cbc0010I After 490321 nodes, 71145 on tree, 11 best solution, best possible 9 (298.61 seconds)
Cbc0010I After 491416 nodes, 71173 on tree, 11 best solution, best possible 9 (299.31 seconds)
Cbc0010I After 492119 nodes, 71469 on tree, 11 best solution, best possible 9 (300.01 seconds)
Cbc0010I After 493349 nodes, 71227 on tree, 11 best solution, best possible 9 (300.72 seconds)
Cbc0010I After 494284 nodes, 71169 on tree, 11 best solution, best possible 9 (301.42 seconds)
Cbc0010I After 494971 nodes, 71599 on tree, 11 best solution, best possible 9 (302.12 seconds)
Cbc0010I After 496398 nodes, 70953 on tree, 11 best solution, best possible 9 (302.82 seconds)
Cbc0010I After 497322 nodes, 70762 on tree, 11 best solution, best possible 9 (303.52 seconds)
Cbc0010I After 498086 nodes, 71113 on tree, 11 best solution, best possible 9 (304.22 seconds)
Cbc0010I After 499596 nodes, 70915 on tree, 11 best solution, best possible 9 (304.92 seconds)
Cbc0010I After 500875 nodes, 70657 on tree, 11 best solution, best possible 9 (305.62 seconds)
Cbc0010I After 501686 nodes, 70945 on tree, 11 best solution, best possible 9 (306.32 seconds)
Cbc0010I After 502525 nodes, 70837 on tree, 11 best solution, best possible 9 (307.02 seconds)
Cbc0010I After 503489 nodes, 70872 on tree, 11 best solution, best possible 9 (307.72 seconds)
Cbc0010I After 504436 nodes, 70865 on tree, 11 best solution, best possible 9 (308.42 seconds)
Cbc0010I After 505164 nodes, 70701 on tree, 11 best solution, best possible 9 (309.13 seconds)
Cbc0010I After 505923 nodes, 70851 on tree, 11 best solution, best possible 9 (309.83 seconds)
Cbc0010I After 506844 nodes, 71047 on tree, 11 best solution, best possible 9 (310.53 seconds)
Cbc0010I After 508110 nodes, 70694 on tree, 11 best solution, best possible 9 (311.23 seconds)
Cbc0010I After 508936 nodes, 70710 on tree, 11 best solution, best possible 9 (311.93 seconds)
Cbc0010I After 509787 nodes, 70919 on tree, 11 best solution, best possible 9 (312.63 seconds)
Cbc0010I After 510528 nodes, 71093 on tree, 11 best solution, best possible 9 (313.33 seconds)
Cbc0010I After 511509 nodes, 71141 on tree, 11 best solution, best possible 9 (314.03 seconds)
Cbc0010I After 512675 nodes, 71101 on tree, 11 best solution, best possible 9 (314.73 seconds)
Cbc0010I After 513609 nodes, 71096 on tree, 11 best solution, best possible 9 (315.44 seconds)
Cbc0010I After 514594 nodes, 70964 on tree, 11 best solution, best possible 9 (316.14 seconds)
Cbc0010I After 515450 nodes, 71077 on tree, 11 best solution, best possible 9 (316.84 seconds)
Cbc0010I After 516391 nodes, 71159 on tree, 11 best solution, best possible 9 (317.54 seconds)
Cbc0010I After 517538 nodes, 71156 on tree, 11 best solution, best possible 9 (318.24 seconds)
Cbc0010I After 518502 nodes, 71159 on tree, 11 best solution, best possible 9 (318.94 seconds)
Cbc0010I After 519482 nodes, 71157 on tree, 11 best solution, best possible 9 (319.64 seconds)
Cbc0010I After 520521 nodes, 71157 on tree, 11 best solution, best possible 9 (320.34 seconds)
Cbc0010I After 521550 nodes, 71157 on tree, 11 best solution, best possible 9 (321.04 seconds)
Cbc0010I After 522644 nodes, 71160 on tree, 11 best solution, best possible 9 (321.74 seconds)
Cbc0010I After 523848 nodes, 71156 on tree, 11 best solution, best possible 9 (322.44 seconds)
Cbc0010I After 524913 nodes, 71157 on tree, 11 best solution, best possible 9 (323.14 seconds)
Cbc0010I After 526037 nodes, 71158 on tree, 11 best solution, best possible 9 (323.84 seconds)
Cbc0010I After 527068 nodes, 71156 on tree, 11 best solution, best possible 9 (324.55 seconds)
Cbc0010I After 528001 nodes, 71156 on tree, 11 best solution, best possible 9 (325.25 seconds)
